DAUID,xCoord,yCoord
48061338,-114.03386,50.9257594
48061648,-114.09345,50.9196947
48061018,-113.95454,51.0603860
48061475,-114.07498,50.9886303
48060530,-114.08533,50.9543493
48061186,-113.99466,51.0141454
48060157,-114.15828,51.0488912
48060570,-114.10139,51.0219381
48060428,-114.12144,51.0877757
48060060,-114.08733,51.1385372
48060233,-114.18732,51.1197853
48060918,-113.98573,51.0370529
48060093,-114.06408,51.0870550
48061349,-114.03656,50.8969611
48060448,-114.12846,51.0756364
48061350,-114.04269,50.8960421
48060356,-114.18817,51.1392458
48062154,-114.01321,50.9572705
48061288,-114.06103,50.9829246
48060512,-114.10986,50.9392995
48061375,-114.07366,50.9042878
48060195,-114.19917,51.0902844
48061659,-114.04662,51.1609029
48062183,-114.24334,51.0967851
48061778,-114.07328,51.1469345
48061079,-113.94521,51.1089124
48060999,-113.94235,51.0447839
48060298,-114.18628,51.1091299
48061132,-113.92098,51.0631132
48060741,-114.11029,51.0043089
48060206,-114.20710,51.1051831
48062236,-114.16175,51.1402194
48060881,-114.03745,51.0848392
48060508,-114.11366,50.9304980
48060592,-114.08476,51.0350626
48062288,-114.10625,50.8920896
48061584,-113.98114,50.9057699
48060186,-114.18073,51.0841086
48062031,-113.92043,51.0405965
48060293,-114.18374,51.0982073
48061007,-113.94039,51.0478307
48060893,-114.03834,51.0522768
48061373,-114.05827,50.9102753
48060340,-114.15414,51.1371613
48061485,-114.01848,51.0006871
48060754,-114.10460,51.0282599
48060935,-114.01172,51.0695600
48062330,-113.98358,50.8843092
48061023,-113.95981,51.0545473
48060697,-114.15418,51.0151206
48061019,-113.95200,51.0583164
48060201,-114.21301,51.0933487
48062259,-113.92537,51.0883851
48061108,-113.96874,51.1115192
48060929,-114.00497,51.0626145
48060620,-114.08078,51.0209122
48060074,-114.05732,51.1221906
48061568,-114.06559,51.1306131
48060112,-114.07826,51.0568201
48060802,-114.11973,50.9435245
48060644,-114.07202,51.0497135
48061287,-114.05567,50.9813061
48062206,-114.11949,51.1386972
48062220,-113.98472,50.9238692
48060414,-114.08982,51.0936027
48061182,-113.99332,51.0261046
48060922,-113.99875,51.0420136
48060586,-114.09047,51.0391190
48062068,-114.08194,50.8979370
48060949,-113.97934,51.0917219
48062172,-114.12127,50.9099709
48061878,-114.19727,51.0514073
48061009,-113.93796,51.0539927
48060432,-114.11139,51.0814654
48060861,-114.05248,51.0584213
48062199,-114.03080,50.8786585
48060689,-114.14541,51.0232029
48060984,-113.97639,51.0486089
48060750,-114.10805,51.0246850
48062274,-114.22314,51.1674278
48062209,-114.22706,51.1210775
48061656,-113.97829,50.9269886
48061479,-114.08082,50.9882938
48061671,-114.05571,51.1479364
48061083,-113.95814,51.1060323
48060433,-114.10859,51.0852373
48060276,-114.15017,51.1093197
48062158,-113.98433,51.1016417
48061463,-114.02310,50.9243931
48060643,-114.07203,51.0532040
48061032,-113.96464,51.0606657
48060737,-114.12003,50.9915216
48060436,-114.10258,51.0720946
48060900,-114.02924,51.0484988
48061221,-114.02068,50.9788096
48060830,-114.20216,51.0856453
48062159,-113.95622,51.1298257
48060680,-114.13868,51.0362222
48061608,-114.12247,51.1488937
48061652,-113.95089,51.1214313
48060379,-114.10471,51.1376000
48062290,-113.93850,51.1313289
48061071,-113.94102,51.0988952
48060973,-113.97782,51.0688500
48061947,-113.99306,50.9056358
48060064,-114.07870,51.1285061
48060120,-114.09854,51.0535078
48060265,-114.16087,51.1209647
48061039,-113.95577,51.0725502
